"Atividade / Entrega principal
(O que será feito / produzido)","Atividade / Entrega principal
(O que foi feito / produzido)","Vinculada à rubrica/custo
(deve existir na aba 1_CRONOGRAMA_FINANCEIRO)","Caso haja alteração no plano de trabalho, justifique o motivo."
Produção de reportagens mensais sobre o Território Quilombola Kalunga,"Produção de conteúdos jornalísticos, registros audiovisuais, entrevistas, reels, matérias e conteúdos relacionados ao território Kalunga, cultura, meio ambiente, turismo de base comunitária e comunicação comunitária.
",Equipe de Comunicadores / Jornalismo / Coberturas,"A execução ocorreu de forma contínua ao longo dos seis meses, considerando deslocamentos territoriais, coberturas em campo e reorganizações de cronograma em razão das condições climáticas e logísticas do território."
Publicação de boletins e jornal comunitário,"Iniciamos a construção do jornal impresso, incluindo levantamento de pautas, escuta comunitária, registros em campo e articulação na comunidade Kalunga Riachão em abril para produção e futura distribuição do material, que será executado entre junho e julho de 2026.",Produção de Jornal Impresso / Boletins comunitários,"A etapa de impressão e distribuição foi reorganizada para os próximos meses do projeto devido às condições climáticas, logística territorial e priorização de atividades comunitárias e formativas durante o período apresentado."
"Produção de séries temáticas (meio ambiente, juventude e ancestralidade)","Desenvolvimento inicial de pautas e levantamento de conteúdos relacionados às temáticas meio ambiente (Cerrado), juventude quilombola e ancestralidade. Parte das produções segue em processo de construção comunitária e edição para os próximos meses.",Reportagens Especiais,"O cronograma das séries temáticas foi reorganizado em função das dificuldades de acesso às comunidades durante o período chuvoso e da dinâmica de produção territorial da organização. Portanto, tivemos apenas reuniões iniciais para levantamento de pautas e conteúdos, não gerando execução financeira significativa nesta rubrica durante o período apresentado."
Oficinas de formação para comunicadores locais,"Realização de oficinas de comunicação comunitária envolvendo juventudes, lideranças, moradores e comunicadores quilombolas, abordando audiovisual, oralidade, podcast, fotografia, redes sociais, letramento racial e tecnológico, saúde mental e produção de conteúdo comunitário.",Formação e Intercâmbio,"Neste primeiro semestre, realizamos três oficinas de formação em comunidades quilombolas, utilizando parte do recurso da FAJ para contribuir com alimentação, hospedagem e deslocamento da equipe durante as atividades em território. Por esse motivo, as rubricas de alimentação e hospedagem foram inseridas na planilha financeira, considerando necessidades operacionais diretamente vinculadas à execução das ações.

Parte dessas oficinas contou também com apoio complementar de outros editais e parcerias institucionais. Dessa forma, os recursos previstos pelo FAJ para as ações serão utilizados de maneira mais intensa no próximo semestre.

Nesse contexto, o apoio do FAJ contribuiu principalmente para a sustentação logística das atividades já desenvolvidas durante esta primeira etapa de execução do projeto."
Fortalecimento dos canais digitais da RKC,"Com o apoio do FAJ, integrantes da RKC passaram a colaborar de forma contínua na produção de conteúdos mensais, fotografias, datas comemorativas e especiais para o quilombo e cultura afro-brasileira, fortalecendo a comunicação comunitária e territorial. 

De janeiro a março, também foi desenvolvido e implementado o site institucional da Rede Kalunga Comunicações, criado por integrante da própria organização, fortalecendo a autonomia digital e a estrutura de comunicação da Rede. Além da criação da plataforma, os recursos também contribuíram para a manutenção, alimentação e atualização contínua do site, em articulação com as atividades da equipe de jornalismo, coberturas e produção de conteúdo territorial.

Nesse contexto, as rubricas relacionadas à equipe de jornalismo e coberturas também dialogam diretamente com o fortalecimento e manutenção dos canais digitais da organização.",Manutenção de Canais Digitais e Site,
Aquisição e manutenção de equipamentos,"Foram adquiridos equipamentos e acessórios utilizados diretamente nas ações de comunicação comunitária, produção audiovisual, registros em campo e fortalecimento dos canais digitais da organização, incluindo 2 celulares, 2 tripés, 2 microfones de lapela, 3 fones de ouvido, 4 cartões de memória e chips para os celulares.

Esses equipamentos passaram a integrar a estrutura de trabalho da Rede, contribuindo para a ampliação da qualidade técnica das coberturas, oficinas, entrevistas, registros audiovisuais e produção de conteúdos realizados ao longo do projeto.",Equipamentos e Manutenção,
Consultoria contábil e jurídica,"Acompanhamento da gestão financeira, documentações, notas fiscais, apoio administrativo e suporte à execução institucional do projeto.",Consultoria Contábil e Jurídica,Execução contínua conforme necessidades administrativas e organizacionais do projeto durante o período apresentado.
Intercâmbio com outras mídias quilombolas,"Mapeamento e articulações via Google Meet com outras mídias para futuros encontros, trocas e fortalecimento institucional relacionados à comunicação comunitária e ao jornalismo territorial.",Formação e Intercâmbio,"Parte das ações de intercâmbio foi reorganizada para os próximos meses do cronograma, considerando logística territorial, deslocamentos e prioridades operacionais do período apresentado."
Comunicação e campanhas de alcance,"Produção e divulgação de campanhas temáticas, materiais audiovisuais, fortalecimento da presença digital e ampliação do alcance das ações desenvolvidas pela Rede, contando com grandes campanhas no território, como a Campanha RKC contra o feminicídio e a Campanha Juntos pela autonomia do Quilombo Kalunga.",Comunicação e Distribuição,"Execução contínua ao longo dos seis meses, acompanhando as ações territoriais, coberturas, oficinas e processos de comunicação comunitária desenvolvidos pela organização."
Apoio logístico às oficinas de comunicação comunitária e turismo de base comunitária no Kalunga,"Apoio à realização de oficinas comunitárias nas comunidades Kalunga Engenho II, Vão do Moleque e Riachão, envolvendo comunicação comunitária, produção audiovisual, turismo de base comunitária e construção coletiva de conteúdos territoriais. Durante as atividades, foram produzidos reels comunitários, processos de escuta, construção de campanhas e fortalecimento da comunicação territorial junto às comunidades participantes.",Alimentação / Hospedagem,"As rubricas de alimentação e hospedagem foram inseridas posteriormente na organização da planilha financeira para adequação das despesas operacionais vinculadas às atividades realizadas em território. Durante esta etapa do projeto, os recursos do FAJ contribuíram principalmente com apoio logístico à permanência da equipe nas comunidades, incluindo alimentação e hospedagem durante oficinas e ações desenvolvidas em parceria com outras iniciativas e projetos territoriais."
